                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77947,                   1.88,                 1.1473,                 0.8749,                0.90683,                0.93168,                0.73341,                0.71032,                 2.0314,                 1.0853,              0.0001428,              0.0001428,              0.0001428
                      2,                0.73167,                0.85446,                  1.094,                0.85048,                0.78882,                0.85473,                0.66113,                0.78694,                 1.2995,                 1.1679,             0.00028984,             0.00028984,             0.00028984
                      3,                0.82131,                0.86262,                 1.1596,                0.76138,                0.76398,                 0.8095,                0.54359,                 1.1279,                 2.4153,                 1.5635,             0.00043391,             0.00043391,             0.00043391
                      4,                0.89718,                0.89647,                 1.1937,                0.69344,                 0.7306,                0.74471,                0.46656,                 1.0963,                 2.9546,                 1.5393,             0.00057502,             0.00057502,             0.00057502
                      5,                0.90901,                0.88307,                 1.1968,                0.65826,                0.50932,                0.58241,                0.33069,                 1.4391,                 2.4024,                 1.8228,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.9112,                0.86855,                  1.215,                0.54828,                0.68944,                0.59742,                0.31969,                 1.3569,                 5.0677,                 1.8704,             0.00067866,             0.00067866,             0.00067866
                      7,                0.89264,                0.82734,                 1.1866,                0.63226,                0.65839,                0.64321,                0.35676,                 1.4954,                 3.6353,                 2.1062,             0.00067159,             0.00067159,             0.00067159
                      8,                0.89516,                0.83641,                 1.1997,                0.54054,                0.48447,                0.47652,                0.24902,                 1.9018,                 4.0918,                 2.2639,             0.00066452,             0.00066452,             0.00066452
                      9,                0.91123,                0.85112,                 1.2244,                0.61789,                0.72315,                0.68306,                 0.3566,                 1.5105,                 2.2869,                 2.0384,             0.00065745,             0.00065745,             0.00065745
                     10,                0.85994,                0.80405,                 1.1859,                 0.7917,                0.68462,                 0.7446,                0.42357,                 1.3777,                 1.6629,                 1.8286,             0.00065038,             0.00065038,             0.00065038
                     11,                0.87962,                0.80543,                 1.1991,                 0.7876,                 0.7764,                0.83345,                0.50004,                  1.324,                 1.2726,                 1.7005,             0.00064331,             0.00064331,             0.00064331
                     12,                0.87977,                0.78726,                 1.2002,                0.69607,                0.73972,                0.74752,                0.45047,                 1.3451,                 1.4679,                 1.7088,             0.00063625,             0.00063625,             0.00063625
                     13,                0.85224,                0.80615,                 1.1967,                0.69164,                0.66871,                0.72863,                0.41631,                 1.3754,                  1.354,                 1.7499,             0.00062918,             0.00062918,             0.00062918
                     14,                0.85732,                0.77093,                 1.1707,                0.77398,                0.74444,                 0.7949,                0.51374,                 1.1568,                 1.2228,                 1.6369,             0.00062211,             0.00062211,             0.00062211
                     15,                0.80627,                0.71583,                 1.1475,                0.80876,                0.73292,                0.81931,                 0.5113,                 1.2664,                 1.2207,                 1.7105,             0.00061504,             0.00061504,             0.00061504
                     16,                0.83556,                0.74021,                 1.1691,                 0.8567,                0.79503,                0.87703,                0.58384,                 1.1115,                0.94091,                 1.5149,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.7865,                0.71899,                 1.1501,                0.83446,                0.78272,                0.86351,                0.56409,                 1.1657,                 1.2708,                 1.5424,              0.0006009,              0.0006009,              0.0006009
                     18,                0.77774,                0.68907,                  1.137,                 0.7769,                0.86516,                0.87094,                0.54209,                 1.1543,                 1.3765,                 1.5514,             0.00059383,             0.00059383,             0.00059383
                     19,                0.80249,                0.68885,                 1.1478,                0.71928,                0.76398,                0.80851,                0.51277,                 1.2088,                 1.1999,                 1.6384,             0.00058677,             0.00058677,             0.00058677
                     20,                0.76704,                  0.666,                 1.1177,                0.81766,                 0.7764,                0.85609,                0.55389,                 1.2333,                0.95728,                 1.6292,              0.0005797,              0.0005797,              0.0005797
                     21,                0.76663,                0.65801,                 1.1169,                0.86385,                 0.7488,                0.83493,                0.55053,                 1.2793,                 1.0988,                 1.6635,             0.00057263,             0.00057263,             0.00057263
                     22,                0.76643,                0.65598,                 1.1271,                0.71956,                0.81278,                0.82661,                0.55685,                 1.2703,                  1.077,                 1.6878,             0.00056556,             0.00056556,             0.00056556
                     23,                0.74284,                0.64749,                 1.1155,                0.76845,                0.76271,                0.82195,                0.56361,                 1.2194,                 1.1393,                  1.593,             0.00055849,             0.00055849,             0.00055849
                     24,                0.72347,                0.62415,                 1.1014,                0.88157,                0.78261,                0.87677,                0.61454,                 1.1011,                0.89213,                 1.4399,             0.00055142,             0.00055142,             0.00055142
                     25,                0.70751,                0.62258,                 1.0838,                0.86294,                0.73913,                0.84365,                0.57973,                 1.1742,                 1.0536,                  1.581,             0.00054435,             0.00054435,             0.00054435
                     26,                0.71073,                0.64001,                  1.114,                0.83668,                0.75155,                0.81668,                0.53739,                 1.2069,                0.97126,                 1.6067,             0.00053728,             0.00053728,             0.00053728
                     27,                0.70853,                0.60857,                 1.0786,                0.82339,                0.80124,                0.83905,                0.55686,                 1.1462,                0.86139,                  1.535,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.6742,                0.60406,                  1.054,                0.79087,                0.83851,                0.87092,                 0.5944,                 1.0326,                0.89347,                 1.4038,             0.00052315,             0.00052315,             0.00052315
                     29,                0.69865,                0.63316,                 1.0902,                0.81093,                 0.8525,                0.87283,                0.62289,                0.96981,                 1.0262,                  1.344,             0.00051608,             0.00051608,             0.00051608
                     30,                0.67078,                0.59419,                 1.0663,                0.84451,                0.84336,                0.87632,                0.61982,                 1.0996,                0.80691,                 1.6077,             0.00050901,             0.00050901,             0.00050901
                     31,                0.64127,                0.55744,                 1.0625,                0.85027,                0.81366,                0.87284,                0.62173,                 1.0279,                0.88745,                 1.4691,             0.00050194,             0.00050194,             0.00050194
                     32,                0.63345,                0.53975,                 1.0405,                0.80219,                0.83124,                0.87174,                 0.5957,                 1.1636,                0.89671,                 1.6226,             0.00049487,             0.00049487,             0.00049487
                     33,                0.63646,                0.55963,                 1.0535,                 0.8779,                0.80384,                0.87547,                0.61632,                  1.034,                0.80143,                 1.4834,              0.0004878,              0.0004878,              0.0004878
                     34,                0.64737,                0.55736,                 1.0585,                0.82021,                0.80745,                0.86312,                  0.581,                 1.1781,                0.88627,                 1.6253,             0.00048074,             0.00048074,             0.00048074
                     35,                0.64616,                0.55346,                  1.062,                0.85608,                0.84472,                0.89173,                0.61905,                 1.0285,                0.82366,                 1.4102,             0.00047367,             0.00047367,             0.00047367
                     36,                0.62229,                0.52986,                 1.0343,                0.90125,                0.80124,                0.87456,                0.57611,                 1.1974,                0.84401,                 1.6112,              0.0004666,              0.0004666,              0.0004666
                     37,                0.61209,                0.51232,                 1.0355,                0.80448,                 0.8323,                0.86299,                0.59571,                 1.0464,                0.88077,                 1.4878,             0.00045953,             0.00045953,             0.00045953
                     38,                0.62292,                0.52099,                 1.0341,                0.86412,                0.80124,                0.88724,                0.63162,                 1.0129,                0.79082,                 1.4625,             0.00045246,             0.00045246,             0.00045246
                     39,                0.62513,                0.53656,                 1.0425,                0.90113,                 0.8323,                0.90559,                0.64649,                 1.0912,                0.78609,                   1.55,             0.00044539,             0.00044539,             0.00044539
                     40,                0.59407,                0.51113,                 1.0344,                0.85838,                0.83851,                0.89796,                0.64091,                 1.0069,                0.77135,                 1.4645,             0.00043832,             0.00043832,             0.00043832
                     41,                0.64143,                0.53871,                 1.0501,                0.82363,                0.81366,                0.87788,                0.59195,                 1.1572,                0.90044,                 1.5779,             0.00043126,             0.00043126,             0.00043126
                     42,                0.60067,                0.50514,                 1.0313,                0.87871,                0.80999,                 0.8861,                0.62082,                 1.0807,                0.79026,                 1.5645,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.5998,                0.50504,                 1.0402,                0.85933,                0.84472,                0.89182,                0.56883,                  1.098,                0.90112,                 1.5204,             0.00041712,             0.00041712,             0.00041712
                     44,                0.61382,                0.51945,                 1.0374,                0.81956,                0.84633,                 0.8433,                0.58379,                 1.0743,                0.90015,                 1.5389,             0.00041005,             0.00041005,             0.00041005
                     45,                0.59807,                0.50174,                 1.0346,                0.81373,                0.85093,                0.85479,                 0.5842,                 1.0827,                0.81944,                 1.5017,             0.00040298,             0.00040298,             0.00040298
                     46,                0.58328,                0.48433,                 1.0065,                0.89105,                0.85714,                0.90468,                  0.608,                 1.0319,                0.77619,                 1.4696,             0.00039591,             0.00039591,             0.00039591
                     47,                0.56293,                0.45578,                0.99441,                0.87616,                0.84472,                0.90801,                0.62286,                0.98813,                 0.7751,                 1.4325,             0.00038884,             0.00038884,             0.00038884
                     48,                0.59589,                0.48247,                 1.0432,                 0.9023,                0.86335,                0.92773,                0.65372,                 1.0179,                0.74654,                 1.4348,             0.00038178,             0.00038178,             0.00038178
                     49,                0.57188,                0.45509,                 1.0063,                0.88403,                 0.8323,                0.90395,                0.65044,                 1.0901,                0.75274,                 1.5102,             0.00037471,             0.00037471,             0.00037471
                     50,                0.56092,                0.46052,                 1.0154,                0.83627,                0.86957,                0.91854,                0.65981,                 1.0252,                 0.8085,                 1.5039,             0.00036764,             0.00036764,             0.00036764
                     51,                0.57892,                0.48356,                 1.0301,                0.89196,                0.79503,                0.89812,                0.64535,                0.98566,                0.75308,                 1.4353,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.5535,                0.45266,                0.98783,                 0.8165,                0.85714,                0.86653,                0.63016,                 1.0186,                0.76379,                 1.5061,              0.0003535,              0.0003535,              0.0003535
                     53,                0.56059,                0.45484,                 1.0045,                0.84502,                0.84664,                0.89015,                0.65402,                0.97932,                0.72608,                   1.49,             0.00034643,             0.00034643,             0.00034643
                     54,                0.54077,                0.44737,                0.99026,                0.81842,                0.86783,                 0.8958,                0.63738,                  1.011,                0.75641,                 1.5197,             0.00033936,             0.00033936,             0.00033936
                     55,                0.52132,                0.43712,                 0.9746,                0.87353,                0.81513,                0.90413,                 0.6589,                0.97074,                0.72989,                  1.472,              0.0003323,              0.0003323,              0.0003323
                     56,                0.51771,                0.44181,                0.98954,                0.89511,                0.83851,                0.90788,                0.67052,                0.94439,                0.68913,                 1.4622,             0.00032523,             0.00032523,             0.00032523
                     57,                0.52905,                0.44114,                0.99179,                0.86956,                0.88199,                0.91753,                0.66614,                0.95177,                0.69793,                 1.4451,             0.00031816,             0.00031816,             0.00031816
                     58,                0.51523,                0.42274,                0.98276,                 0.8204,                0.85093,                0.89513,                0.64834,                0.95354,                0.81193,                 1.4197,             0.00031109,             0.00031109,             0.00031109
                     59,                0.51397,                0.43276,                0.99085,                0.87817,                0.85063,                0.91618,                0.63968,                0.96348,                0.78518,                 1.4229,             0.00030402,             0.00030402,             0.00030402
                     60,                0.50037,                0.41779,                0.97962,                 0.8459,                0.85093,                0.89653,                0.65355,                 1.0061,                0.81611,                 1.4191,             0.00029695,             0.00029695,             0.00029695
                     61,                0.47804,                0.40157,                 0.9758,                0.86787,                0.86957,                0.91363,                0.66113,                 1.0014,                0.76259,                 1.4092,             0.00028988,             0.00028988,             0.00028988
                     62,                0.47585,                0.38024,                0.95326,                0.86874,                 0.8882,                0.91631,                0.64808,                 1.0355,                0.76597,                 1.4553,             0.00028282,             0.00028282,             0.00028282
                     63,                0.48034,                0.38725,                0.95505,                0.86723,                0.85093,                0.90716,                0.66898,                0.95207,                0.69361,                 1.3791,             0.00027575,             0.00027575,             0.00027575
                     64,                0.48307,                0.38552,                0.96593,                0.92381,                0.85714,                0.91917,                0.68352,                 0.9451,                0.65843,                 1.3736,             0.00026868,             0.00026868,             0.00026868
                     65,                0.48751,                0.39441,                0.97033,                0.84735,                0.89441,                0.92333,                0.68504,                0.93863,                0.65647,                 1.4014,             0.00026161,             0.00026161,             0.00026161
                     66,                0.48738,                0.39619,                0.96697,                0.91351,                0.85283,                0.93194,                0.71053,                0.97058,                0.73664,                 1.3954,             0.00025454,             0.00025454,             0.00025454
                     67,                0.46269,                0.37742,                0.95474,                0.89747,                0.86992,                0.92565,                0.69383,                0.93343,                0.69554,                 1.3754,             0.00024747,             0.00024747,             0.00024747
                     68,                0.48419,                0.40289,                0.97384,                0.86922,                0.86694,                0.90301,                0.65002,                0.93517,                0.74047,                 1.3736,              0.0002404,              0.0002404,              0.0002404
                     69,                0.48587,                0.39645,                0.97975,                0.85419,                 0.8323,                0.88756,                0.65772,                0.87989,                0.74358,                 1.3218,             0.00023334,             0.00023334,             0.00023334
                     70,                0.45629,                0.37447,                0.95387,                0.88317,                0.87578,                0.91946,                0.67256,                0.89891,                0.66158,                 1.3778,             0.00022627,             0.00022627,             0.00022627
                     71,                0.45342,                0.36648,                0.95032,                0.87069,                0.87827,                0.91997,                0.66349,                0.92751,                0.64092,                 1.3994,              0.0002192,              0.0002192,              0.0002192
                     72,                  0.456,                0.35852,                0.96177,                 0.8716,                0.86957,                0.92169,                0.66479,                0.98078,                0.69053,                   1.47,             0.00021213,             0.00021213,             0.00021213
                     73,                0.46303,                0.35758,                0.95624,                0.93129,                 0.8323,                0.91635,                0.64835,                0.95213,                0.75865,                 1.4311,             0.00020506,             0.00020506,             0.00020506
                     74,                0.45134,                0.35845,                0.95361,                0.85202,                0.85832,                0.89267,                0.66313,                0.94223,                0.74989,                 1.4297,             0.00019799,             0.00019799,             0.00019799
                     75,                0.43782,                0.35256,                0.94423,                0.86247,                0.85714,                0.89091,                0.66811,                0.89465,                 0.7405,                 1.3819,             0.00019092,             0.00019092,             0.00019092
                     76,                0.42934,                0.33563,                 0.9309,                0.87073,                0.87855,                0.91607,                0.69007,                0.85381,                0.68595,                 1.3623,             0.00018385,             0.00018385,             0.00018385
                     77,                0.43404,                0.34354,                0.94485,                0.90359,                0.81504,                0.90606,                0.68464,                0.82081,                0.71857,                 1.3114,             0.00017679,             0.00017679,             0.00017679
                     78,                0.41551,                0.32732,                0.93817,                0.84292,                0.87578,                0.91173,                0.69892,                0.88431,                0.70476,                 1.3808,             0.00016972,             0.00016972,             0.00016972
                     79,                0.44083,                0.35079,                0.95384,                 0.8526,                0.90062,                0.91547,                0.70027,                0.86544,                0.62391,                  1.357,             0.00016265,             0.00016265,             0.00016265
                     80,                0.41923,                0.33254,                0.92308,                0.84993,                0.87948,                0.90918,                0.69826,                0.90309,                0.69023,                 1.3636,             0.00015558,             0.00015558,             0.00015558
                     81,                0.42819,                 0.3468,                0.93911,                0.89135,                0.85093,                 0.9036,                0.69303,                0.89699,                0.72404,                 1.3517,             0.00014851,             0.00014851,             0.00014851
                     82,                0.40961,                0.32797,                0.93372,                0.87755,                0.84574,                0.90828,                 0.7087,                0.88708,                0.73965,                 1.3379,             0.00014144,             0.00014144,             0.00014144
                     83,                0.41077,                0.33277,                0.93867,                0.88835,                0.85714,                0.91135,                0.71831,                 0.8624,                0.74209,                 1.3014,             0.00013437,             0.00013437,             0.00013437
                     84,                0.40807,                0.32157,                0.93103,                0.87549,                0.86957,                0.92304,                0.72498,                0.82739,                0.65099,                 1.2769,             0.00012731,             0.00012731,             0.00012731
                     85,                 0.3978,                0.31968,                0.92889,                0.88106,                0.85714,                0.91462,                0.72527,                0.80483,                0.62576,                 1.2728,             0.00012024,             0.00012024,             0.00012024
                     86,                0.40371,                0.32079,                0.92638,                0.84983,                0.88199,                0.91287,                0.71721,                0.75764,                0.64634,                 1.2203,             0.00011317,             0.00011317,             0.00011317
                     87,                0.39943,                0.31587,                0.92904,                0.85494,                0.85714,                0.91184,                0.70946,                0.77227,                0.71292,                 1.2129,              0.0001061,              0.0001061,              0.0001061
                     88,                0.39873,                0.32333,                0.94066,                0.86569,                0.86957,                 0.9168,                0.72306,                0.77518,                 0.6766,                 1.2365,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.41966,                 0.3336,                0.93701,                 0.8816,                0.88199,                0.92643,                0.71551,                0.82404,                 0.6431,                 1.3005,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.37121,                 0.2963,                0.91764,                0.87533,                0.85093,                 0.9306,                0.71738,                0.83276,                0.64291,                 1.2967,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.29919,                0.25032,                0.84108,                0.88263,                0.84072,                0.90417,                0.70689,                0.85299,                0.66861,                  1.331,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.2862,                0.22684,                 0.8452,                0.86181,                0.83851,                0.89462,                0.70597,                0.83356,                0.72656,                 1.2837,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.27934,                0.20586,                0.83029,                0.87223,                0.83851,                0.90621,                0.71916,                0.85518,                 0.7056,                 1.3048,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.26874,                0.20338,                0.82713,                 0.8714,                0.86335,                0.90315,                0.72337,                0.83946,                0.68663,                 1.3005,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.28875,                0.22924,                0.83327,                0.85032,                0.88212,                0.90482,                0.71863,                0.82553,                 0.6884,                 1.2894,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.27571,                0.20802,                0.82945,                0.86867,                0.86274,                0.90244,                 0.7249,                0.81922,                0.69501,                 1.2939,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.2739,                0.21001,                0.83305,                 0.8742,                0.86326,                0.90326,                0.72706,                0.80595,                0.67464,                 1.2885,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.27521,                 0.2072,                0.83783,                0.85738,                0.86335,                0.90205,                0.72396,                0.81623,                0.70556,                 1.2994,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.26398,                 0.2055,                0.83243,                0.86096,                0.84613,                0.90355,                 0.7281,                 0.8019,                0.72347,                 1.2834,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.26162,                0.19869,                0.82523,                0.87245,                0.85093,                0.90473,                0.73442,                0.79403,                0.71964,                  1.281,             1.4209e-05,             1.4209e-05,             1.4209e-05
